time,iteration,loss,test accuracy,test end,train accuracy,train end
118m 47s (- -119m 12s),175000,1.7061042116347314,70.1,95.19999999999999,72.5,95.8
119m 21s (- -120m 38s),176000,1.7616424902957546,70.1,95.1,72.6,94.8
120m 5s (- -121m 54s),177000,1.7209034126858185,68.2,92.4,72.6,93.4
120m 41s (- -121m 18s),178000,1.6893233264163245,69.8,95.19999999999999,72.1,96.1
121m 24s (- -122m 35s),179000,1.7336651780963843,71.1,93.4,75.4,93.4
122m 3s (- -123m 56s),180000,1.7795743548978051,70.89999999999999,92.60000000000001,74.4,93.5
122m 50s (- -123m 9s),181000,1.8055156401847097,72.89999999999999,94.19999999999999,74.6,94.1
123m 23s (- -124m 36s),182000,1.8369841329795844,71.1,95.6,75.0,96.1
124m 9s (- -125m 50s),183000,1.7719374945108244,69.0,93.60000000000001,71.2,95.19999999999999
124m 50s (- -125m 9s),184000,1.775005683258003,69.8,94.19999999999999,71.2,94.89999999999999
125m 30s (- -126m 29s),185000,1.782602538984903,72.5,92.9,71.7,91.3
126m 5s (- -127m 54s),186000,1.6994115184837215,70.6,93.89999999999999,71.39999999999999,93.7
126m 50s (- -127m 9s),187000,1.7656442087259965,72.2,94.6,74.7,95.0
127m 31s (- -128m 28s),188000,1.7982155406047249,70.6,95.5,73.3,96.39999999999999
128m 7s (- -129m 52s),189000,1.6716250732960138,69.8,95.3,72.89999999999999,96.39999999999999
128m 55s (- -129m 4s),190000,1.73417133001245,69.0,95.1,73.2,94.89999999999999
129m 28s (- -130m 32s),191000,1.7099365967637605,70.6,93.89999999999999,74.0,93.30000000000001
130m 11s (- -131m 48s),192000,1.777753231583093,71.1,97.1,75.2,97.7
130m 50s (- -131m 9s),193000,1.684219809003075,71.89999999999999,95.89999999999999,72.7,96.39999999999999
131m 32s (- -132m 27s),194000,1.7132108526679222,70.1,95.6,74.0,96.6
132m 6s (- -133m 53s),195000,1.7515507586363925,71.89999999999999,95.1,75.2,95.5
132m 55s (- -133m 4s),196000,1.8116255204086162,67.2,93.0,71.1,93.30000000000001
133m 32s (- -134m 27s),197000,1.7885370634672024,67.9,93.8,70.89999999999999,94.1
134m 15s (- -135m 44s),198000,1.7687570580012297,71.2,92.5,73.0,93.5
134m 56s (- -135m 3s),199000,1.800855519445342,70.6,94.5,74.5,95.19999999999999
135m 41s (- -136m 18s),200000,1.7624080924209449,70.0,93.8,72.8,94.1
136m 13s (- -137m 46s),201000,1.7142801655885893,71.3,95.5,75.2,96.0
136m 57s (- -137m 2s),202000,1.7483264860889949,71.3,94.8,73.4,94.1
137m 41s (- -138m 18s),203000,1.802832619762405,68.7,95.8,72.8,95.7
138m 17s (- -139m 42s),204000,1.7219919132557802,71.2,94.69999999999999,73.8,93.2
138m 55s (- -139m 4s),205000,1.7535527919577176,72.39999999999999,94.69999999999999,76.8,95.39999999999999
139m 40s (- -140m 19s),206000,1.8228751228317754,70.19999999999999,94.39999999999999,74.3,95.1
140m 18s (- -141m 41s),207000,1.755692757460404,72.39999999999999,93.8,75.1,93.30000000000001
140m 58s (- -141m 1s),208000,1.7276951725150411,71.7,93.10000000000001,73.9,93.89999999999999
141m 44s (- -142m 15s),209000,1.7770775642387806,71.7,94.6,74.1,94.5
142m 19s (- -143m 40s),210000,1.7310926224836587,69.69999999999999,94.5,74.0,95.0
142m 55s (- -143m 4s),211000,1.7424339328755607,70.7,96.5,73.6,96.7
143m 39s (- -144m 20s),212000,1.7458451950409102,69.69999999999999,96.2,72.8,96.39999999999999
144m 15s (- -145m 44s),213000,1.7867573007357416,72.39999999999999,93.0,74.9,92.2
