b,rank,sketch,p,cost,time,regex,gt
51,b,?,startwith(<1>): 76.9,76.9,0.03,([1]).*,false
46,b,?,startwith(<num>): 76.9,76.9,0.026,([0-9]).*,false
112,b,?,startwith(<let>): 76.9,76.9,0.039,([a-zA-Z]).*,false
101,b,?,startwith(<cap>): 76.9,76.9,0.028,([A-Z]).*,false
41,b,?,endwith(<num>): 76.94,76.94,0.033,.*([0-9]),false
103,b,?,startwith(<num>): 76.9,76.9,0.035,([0-9]).*,false
99,b,?,contain(<C>): 76.98,76.98,0.044,.*([C]).*,false
63,b,?,startwith(<1>): 76.9,76.9,0.029,([1]).*,false
77,b,?,startwith(<low>): 76.9,76.9,0.044,([a-z]).*,false
2,b,?,startwith(<low>): 76.9,76.9,0.027,([a-z]).*,false
